matched term,file name,match line number,know option,think option,verb,token,force,comp,subj,unique id,multi verb context,child,interaction,context pre 1,context pre 2,context pre 3,context pre 4,context pre 5,context pre 6,context pre 7,context pre 8,context pre 9,context pre 10,matched line,context post 1,context post 2,Sample Set,factors
I think I will. ,andy dinner.cha,1656,know,think,think,think,declarative,declarative,1,2.298,no,andy,dinner,CHILD: no I. ,MOTHER: because.... ,CHILD: but I won! ,MOTHER: you haven't even finished yet. ,CHILD: but I won! ,MOTHER: [noise] Andy! ,CHILD: I did finish. ,CHILD: I won. ,FATHER: you're not gonna eat that watermelon? ,CHILD: uhuh. ,FATHER: I think I will. ,CHILD: all finished. ,MOTHER: okay. ,666,think-declarative-declarative
"I know one of the wheels goes in here, right? ",andy fathertoy.cha,1072,know,think,know,know,declarative,declarative,1,1.014,no,andy,father,FATHER: yeah. ,FATHER: you're right. ,FATHER: does this red fellow go here? ,FATHER: no. ,FATHER: [noise],CHILD: where is my place? ,FATHER: [noise],CHILD: where's my place? ,FATHER: well I know one thing. ,CHILD: what? ,"FATHER: I know one of the wheels goes in here, right? ",FATHER: [noise],CHILD: that's not the wheel. ,666,know-declarative-declarative
we know where the people go. ,andy fathertoy.cha,1418,know,think,know,know,declarative,interrogative,1,3.017,yes,andy,father,FATHER: where do the red and the black screw go? ,CHILD: and where does this go? ,CHILD: and these two blue screws? ,FATHER: I don't know.,FATHER: and what was holding the wheel? ,FATHER: we didn't remember. ,FATHER: we should have... maybe even written some things down. ,"FATHER: like what belongs where, hmm? ",CHILD: but we knew where these people go. ,"FATHER: yup, that we know. ",FATHER: we know where the people go. ,CHILD: I know where these go. ,FATHER: I wonder what holds in the spare tire? ,666,know-declarative-interrogative
do you know what this is? ,andy mothertoy.cha,1186,know,think,know,know,interrogative,interrogative,2,6.237,no,andy,mother,MOTHER: okay can you... ,CHILD: where's my man ? ,MOTHER: can you put…,MOTHER: on it…,MOTHER: that's the woman. ,CHILD: here is my man. ,CHILD: hey where... ,"MOTHER: okay, can you put a wheel back here? ",MOTHER: Andy can you... can you get this one in? ,CHILD: [noise] bee. ,MOTHER: do you know what this is? ,MOTHER: well it goes back here. ,CHILD: [noise],666,know-interrogative-interrogative
"you know where to... where things go, right? ",andy mothertoy.cha,1045,know,think,know,know,declarative,interrogative,2,3.001,no,andy,mother,MOTHER: okay. ,CHILD: get back. ,CHILD: I'll watch you. ,MOTHER: you'll watch me? ,MOTHER: you're not gonna help me? ,MOTHER: I'm not sure I could do it either. ,CHILD: someone help us. ,"MOTHER: [laughs] the blue screws go in front, right? ",MOTHER: these are the headlights. ,MOTHER: you come help me. ,"MOTHER: you know where to... where things go, right? ",MOTHER: the people? ,CHILD: the people belong inside it. ,666,know-declarative-interrogative
do you think we should put this back together again... alright oh. ,bobby fathertoy.cha,3078,know,think,think,think,interrogative,declarative,2,5.057,no,bobby,father,FATHER: we're all done. ,FATHER: okay. ,"INVESTIGATOR: hi, Bobby. ",CHILD: hi. ,FATHER: wanna hurry up and put it back together again. ,CHILD: yeah. ,"INVESTIGATOR: Bobby, thank you very much for coming we have a present for you.",FATHER: what do you say. ,CHILD: thank you. ,INVESTIGATOR: you'll welcome. ,FATHER: do you think we should put this back together again... alright oh. ,INVESTIGATOR: oh oh no leave it. ,INVESTIGATOR: [noise] Bobby while we'll waiting you can hang around in here… and with the thing here if…,666,think-interrogative-declarative
do you think they can get in there?,bobby mothertoy.cha,1832,know,think,think,think,interrogative,declarative,2,5.069,no,bobby,mother,CHILD: them... them... them not pat the kitty.,MOTHER: why?,CHILD: cause he jump... cause he jump... jump...,MOTHER: jump?,CHILD: yeah.,MOTHER: what's the kitty cat doing?,CHILD: ...running away.,"MOTHER: alright, now where's he gonna go?",CHILD: [noise],MOTHER: right.,MOTHER: do you think they can get in there?,CHILD: [noise],MOTHER: are they gonna follow him?,666,think-interrogative-declarative
well… do you think it goes in there?,bobby mothertoy.cha,1156,know,think,think,think,interrogative,declarative,2,5.1,no,bobby,mother,CHILD: ow.,"MOTHER: okay, alright, how about can I have some coffee?",CHILD: coffee.,"MOTHER: alright, all I have is four cents.",MOTHER: is that enough?,CHILD: yep.,MOTHER: okay.,CHILD: [noise],MOTHER: alright.,CHILD: in here.,MOTHER: well… do you think it goes in there?,CHILD: yeah.,MOTHER: what about all the other money?,666,think-interrogative-declarative
"I know it's your birthday and you got presents, but you still have to eat your dinner.",charlie dinner.cha,1525,know,think,know,know,declarative,declarative,1,1.015,yes,charlie,dinner,FATHER: I don't know why.,FATHER: why?,CHILD: no.,"FATHER: well, it's hard to eat with a baseball mitt on.",MOTHER: well…,FATHER: that's why.,MOTHER: so we're gonna go up and...,"CHILD: but Dad, I wanna see it.",MOTHER: the big house but not...,"CHILD: Dad, it's my birthday and I get presents.","FATHER: I know it's your birthday and you got presents, but you still have to eat your dinner.",CHILD: I don't want any.,FATHER: sure you do.,666,know-declarative-declarative
"hey, you know what would happen if I weren't holding on to this chair?",charlie dinner.cha,4176,know,think,know,know,interrogative,interrogative,2,6.1,yes,charlie,dinner,"CHILD: Ma, please get me out of here.",MOTHER: first I have to clean you off.,MOTHER: would you wait here?,FATHER: hey!,FATHER: what's up?,CHILD: I don't want any.,FATHER: you don't want any.,FATHER: I think you have enough on your shirt… to last you through a long cold winter.,MOTHER: let's see your face.,CHILD: [noises].,"FATHER: hey, you know what would happen if I weren't holding on to this chair?",CHILD: what?,FATHER: and you were climbing up on it like that?,666,know-interrogative-interrogative
